301,Boris – 301,730309
302,Boris – 302,493650
303,Boris – 303,503384
304,Boris – 304,135258
305,Boris – 305,399306
306,Boris – 306,293233
307,Boris – 307,980019
308,Boris – 308,795886
309,Boris – 309,302391
310,Boris – 310,800715
311,Boris – 311,706462
312,Boris – 312,812599
313,Boris – 313,913072
314,Boris – 314,833786
315,Boris – 315,242443
316,Boris – 316,256879
317,Boris – 317,640592
318,Boris – 318,620361
319,Boris – 319,19954
320,Boris – 320,213840
321,Boris – 321,417431
322,Boris – 322,862581
323,Boris – 323,415431
324,Boris – 324,136035
325,Boris – 325,230014
326,Boris – 326,541830
327,Boris – 327,504426
328,Boris – 328,545514
329,Boris – 329,931844
330,Boris – 330,202054
331,Boris – 331,267409
332,Boris – 332,606985
333,Boris – 333,889414
334,Boris – 334,833131
335,Boris – 335,148139
336,Boris – 336,703961
337,Boris – 337,990810
338,Boris – 338,830565
339,Boris – 339,954874
340,Boris – 340,497600
341,Boris – 341,991936
342,Boris – 342,847639
343,Boris – 343,490197
344,Boris – 344,14974
345,Boris – 345,566837
346,Boris – 346,960460
347,Boris – 347,646036
348,Boris – 348,337013
349,Boris – 349,408976
350,Boris – 350,188364
351,Boris – 351,794913
352,Boris – 352,719590
353,Boris – 353,347213
354,Boris – 354,253787
355,Boris – 355,544805
356,Boris – 356,381138
357,Boris – 357,516429
358,Boris – 358,860210
359,Boris – 359,925819
360,Boris – 360,172160
361,Boris – 361,639910
362,Boris – 362,670495
363,Boris – 363,471899
364,Boris – 364,192904
365,Boris – 365,765280
366,Boris – 366,155125
367,Boris – 367,311363
368,Boris – 368,110471
369,Boris – 369,554892
370,Boris – 370,940483
371,Boris – 371,679277
372,Boris – 372,745643
373,Boris – 373,822322
374,Boris – 374,433840
375,Boris – 375,904769
376,Boris – 376,612234
377,Boris – 377,202096
378,Boris – 378,387323
379,Boris – 379,978651
380,Boris – 380,277601
381,Boris – 381,837209
382,Boris – 382,832427
383,Boris – 383,543819
384,Boris – 384,702276
385,Boris – 385,99641
386,Boris – 386,291090
387,Boris – 387,808536
388,Boris – 388,144400
389,Boris – 389,333557
390,Boris – 390,770141
391,Boris – 391,603522
392,Boris – 392,981295
393,Boris – 393,510295
394,Boris – 394,228193
395,Boris – 395,182785
396,Boris – 396,340768
397,Boris – 397,657589
398,Boris – 398,885081
399,Boris – 399,607046
400,Boris – 400,373704
