401,Boris – 401,669628
402,Boris – 402,764096
403,Boris – 403,593524
404,Boris – 404,529894
405,Boris – 405,290410
406,Boris – 406,688126
407,Boris – 407,941046
408,Boris – 408,240322
409,Boris – 409,155235
410,Boris – 410,179334
411,Boris – 411,110534
412,Boris – 412,199701
413,Boris – 413,539830
414,Boris – 414,2482
415,Boris – 415,259641
416,Boris – 416,777704
417,Boris – 417,94018
418,Boris – 418,343576
419,Boris – 419,137212
420,Boris – 420,148769
421,Boris – 421,659302
422,Boris – 422,349174
423,Boris – 423,997516
424,Boris – 424,883432
425,Boris – 425,372286
426,Boris – 426,956875
427,Boris – 427,225963
428,Boris – 428,6082
429,Boris – 429,383134
430,Boris – 430,2144
431,Boris – 431,624275
432,Boris – 432,760364
433,Boris – 433,443596
434,Boris – 434,952928
435,Boris – 435,863110
436,Boris – 436,680307
437,Boris – 437,469908
438,Boris – 438,274948
439,Boris – 439,782875
440,Boris – 440,537685
441,Boris – 441,842588
442,Boris – 442,768152
443,Boris – 443,716054
444,Boris – 444,767241
445,Boris – 445,942374
446,Boris – 446,857901
447,Boris – 447,560692
448,Boris – 448,26300
449,Boris – 449,295940
450,Boris – 450,320652
451,Boris – 451,444632
452,Boris – 452,651721
453,Boris – 453,843843
454,Boris – 454,935897
455,Boris – 455,143747
456,Boris – 456,863783
457,Boris – 457,420513
458,Boris – 458,221318
459,Boris – 459,601105
460,Boris – 460,640283
461,Boris – 461,755627
462,Boris – 462,803132
463,Boris – 463,989877
464,Boris – 464,130348
465,Boris – 465,271366
466,Boris – 466,594012
467,Boris – 467,690602
468,Boris – 468,478588
469,Boris – 469,603486
470,Boris – 470,832240
471,Boris – 471,463541
472,Boris – 472,702071
473,Boris – 473,943915
474,Boris – 474,291673
475,Boris – 475,343931
476,Boris – 476,783802
477,Boris – 477,246953
478,Boris – 478,295345
479,Boris – 479,126480
480,Boris – 480,836900
481,Boris – 481,231378
482,Boris – 482,222395
483,Boris – 483,738663
484,Boris – 484,446636
485,Boris – 485,57196
486,Boris – 486,155210
487,Boris – 487,710866
488,Boris – 488,654382
489,Boris – 489,357257
490,Boris – 490,167861
491,Boris – 491,874264
492,Boris – 492,581870
493,Boris – 493,866960
494,Boris – 494,156051
495,Boris – 495,39314
496,Boris – 496,143788
497,Boris – 497,894149
498,Boris – 498,333942
499,Boris – 499,812376
500,Boris – 500,931541
