101,Boris – 101,775667
102,Boris – 102,883391
103,Boris – 103,506552
104,Boris – 104,360926
105,Boris – 105,817585
106,Boris – 106,628757
107,Boris – 107,249295
108,Boris – 108,194462
109,Boris – 109,29015
110,Boris – 110,357675
111,Boris – 111,16023
112,Boris – 112,189810
113,Boris – 113,518794
114,Boris – 114,894479
115,Boris – 115,140899
116,Boris – 116,453371
117,Boris – 117,916484
118,Boris – 118,554813
119,Boris – 119,760484
120,Boris – 120,777447
121,Boris – 121,320777
122,Boris – 122,658245
123,Boris – 123,494847
124,Boris – 124,737883
125,Boris – 125,190442
126,Boris – 126,567442
127,Boris – 127,547460
128,Boris – 128,319663
129,Boris – 129,575194
130,Boris – 130,731438
131,Boris – 131,231744
132,Boris – 132,376765
133,Boris – 133,963896
134,Boris – 134,527250
135,Boris – 135,628173
136,Boris – 136,86334
137,Boris – 137,903593
138,Boris – 138,910075
139,Boris – 139,386118
140,Boris – 140,89110
141,Boris – 141,7257
142,Boris – 142,203024
143,Boris – 143,887631
144,Boris – 144,430636
145,Boris – 145,854189
146,Boris – 146,615618
147,Boris – 147,993983
148,Boris – 148,249655
149,Boris – 149,995780
150,Boris – 150,43493
151,Boris – 151,198050
152,Boris – 152,610844
153,Boris – 153,87786
154,Boris – 154,540053
155,Boris – 155,818095
156,Boris – 156,506828
157,Boris – 157,324657
158,Boris – 158,813180
159,Boris – 159,829221
160,Boris – 160,15745
161,Boris – 161,546877
162,Boris – 162,555694
163,Boris – 163,652815
164,Boris – 164,563373
165,Boris – 165,146214
166,Boris – 166,347658
167,Boris – 167,390208
168,Boris – 168,740001
169,Boris – 169,179500
170,Boris – 170,895150
171,Boris – 171,886311
172,Boris – 172,50152
173,Boris – 173,252876
174,Boris – 174,380992
175,Boris – 175,865062
176,Boris – 176,221884
177,Boris – 177,324719
178,Boris – 178,353334
179,Boris – 179,627395
180,Boris – 180,616455
181,Boris – 181,869796
182,Boris – 182,586655
183,Boris – 183,269982
184,Boris – 184,878208
185,Boris – 185,414700
186,Boris – 186,605479
187,Boris – 187,298546
188,Boris – 188,419075
189,Boris – 189,824888
190,Boris – 190,297407
191,Boris – 191,711680
192,Boris – 192,605837
193,Boris – 193,307853
194,Boris – 194,943781
195,Boris – 195,699230
196,Boris – 196,705973
197,Boris – 197,103867
198,Boris – 198,388029
199,Boris – 199,21665
200,Boris – 200,815669
